Name,Canton,Population
Villmergen,Aargau,7324
Minusio,Ticino,7303
Seuzach,Zurich,7291
Rorschacherberg,Sankt Gallen,7285
Wollerau,Schwyz,7255
Untersiggenthal,Aargau,7240
Meggen,Luzern,7238
Herzogenbuchsee,Bern,7197
Bubikon,Zurich,7194
Reiden,Luzern,7131
Altendorf,Schwyz,7081
Grabs,Sankt Gallen,7068
Orbe,Vaud,6987
Chatel-Saint-Denis,Fribourg,6969
Oberglatt,Zurich,6964
Frutigen,Bern,6921
Ruswil,Luzern,6856
Schwarzenburg,Bern,6829
Heimberg,Bern,6827
Saanen,Bern,6817
Nidau,Bern,6815
Dornach,Solothurn,6778
Losone,Ticino,6701
Bottmingen,Basel-Landschaft,6691
Sissach,Basel-Landschaft,6681
Porrentruy,Jura,6675
Beromunster,Luzern,6580
Thal,Sankt Gallen,6570
Oberengstringen,Zurich,6569
Trimbach,Solothurn,6543
Wiesendangen,Zurich,6521
Derendingen,Solothurn,6483
Wurenlos,Aargau,6482
Diepoldsau,Sankt Gallen,6469
Frenkendorf,Basel-Landschaft,6435
Uznach,Sankt Gallen,6416
Oberuzwil,Sankt Gallen,6412
Birmensdorf,Zurich,6385
Fehraltorf,Zurich,6378
Vetroz,Valais,6372
Kerns,Obwalden,6337
Menziken,Aargau,6330
Buchs,Zurich,6303
Herrliberg,Zurich,6290
Oensingen,Solothurn,6284
Teufen,Appenzell Ausserrhoden,6265
Bolligen,Bern,6262
Rolle,Vaud,6259
Massagno,Ticino,6227
Gelterkinden,Basel-Landschaft,6200
Kuttigen,Aargau,6180
Blonay,Vaud,6173
Boudry,Neuchatel,6152
Uetikon am See,Zurich,6145
Moudon,Vaud,6135
Balsthal,Solothurn,6117
Buchrain,Luzern,6116
Biasca,Ticino,6115
Obererli,Schwyz,6080
Alpnach,Obwalden,6031
Bischofszell,Thurgau,6016
Glarus,Glarus,5996
Kirchberg,Bern,5965
Dielsdorf,Zurich,5940
Zell,Zurich,5929
Saxon,Valais,5897
Uetendorf,Bern,5892
Sankt Margrethen,Appenzell Ausserrhoden,5886
Ruschlikon,Zurich,5830
Peseux,Neuchatel,5809
Hergiswil,Nidwalden,5777
Villeneuve,Vaud,5767
Unterseen,Bern,5750
Jegenstorf,Bern,5742
Echallens,Vaud,5740
Neftenbach,Zurich,5692
Saint-Prex,Vaud,5679
Walenstadt,Sankt Gallen,5679
Appenzell,Appenzell Innerrhoden,5649
Zermatt,Valais,5643
Mellingen,Aargau,5633
Lindau,Zurich,5621
Interlaken,Bern,5592
Sennwald,Sankt Gallen,5592
Nurensdorf,Zurich,5591
Kaiseraugst,Aargau,5576
Cologny,Geneve,5570
Erlenbach,Zurich,5567
Frick,Aargau,5563
Laufen,Basel-Landschaft,5556
Colombier,Neuchatel,5547
Fislisbach,Aargau,5544
Bonstetten,Zurich,5543
Ascona,Ticino,5534
Dagmersellen,Luzern,5503
Rupperswil,Aargau,5486
Thayngen,Schaffhausen,5453
Courtepin,Fribourg,5451
Schattdorf,Uri,5418
Gebenstorf,Aargau,5414
Adligenswil,Luzern,5391
Munchwilen,Thurgau,5377
Greifensee,Zurich,5345
Obfelden,Zurich,5340
Buochs,Nidwalden,5312
Vechigen,Bern,5298
Seon,Aargau,5288
Preverenges,Vaud,5287
Konolfingen Dorf,Bern,5282
Romont,Fribourg,5276
Feusisberg,Schwyz,5262
Lengnau,Bern,5254
Bellach,Solothurn,5214
Lausen,Basel-Landschaft,5209
Gerlafingen,Solothurn,5202
Hitzkirch,Luzern,5201
Glattfelden,Zurich,5189
Saint Legier-La Chiesaz,Vaud,5184
Eglisau,Zurich,5170
Gommiswald,Sankt Gallen,5164
Ettingen,Basel-Landschaft,5156
Sachseln,Obwalden,5146
Hagendorf,Solothurn,5137
Zumikon,Zurich,5120
Fraubrunnen,Bern,5106
Sevelen,Sankt Gallen,5103
