Name,Canton,Population
Eich,Luzern,1626
Magliaso,Ticino,1620
Chippis,Valais,1617
Sisseln,Aargau,1616
Denges,Vaud,1611
Eysins,Vaud,1608
Saas-Fee,Valais,1597
Zaziwil,Bern,1595
Arch,Bern,1592
Guttingen,Thurgau,1591
Hirschthal,Aargau,1590
Biere,Vaud,1590
Ziefen,Basel-Landschaft,1589
Berg,Aargau,1589
Reigoldswil,Basel-Landschaft,1582
Luzein,Graubunden,1582
Auenstein,Aargau,1581
Heimiswil,Bern,1580
Porza,Ticino,1579
Altishofen,Luzern,1577
Lutisburg,Sankt Gallen,1576
Tannay,Vaud,1574
Schwellbrunn,Appenzell Ausserrhoden,1573
Biberstein,Aargau,1571
Ossingen,Zurich,1566
Wohlenschwil,Aargau,1565
Pfafers,Sankt Gallen,1564
Cornaux,Neuchatel,1563
Bellikon,Aargau,1562
Seeberg,Bern,1560
Auvernier,Neuchatel,1559
Bedano,Ticino,1551
Dinhard,Zurich,1551
Salgesch,Valais,1547
Herznach,Aargau,1545
Homburg,Thurgau,1543
Duggingen,Basel-Landschaft,1541
Perroy,Vaud,1536
Lommiswil,Solothurn,1535
Jongny,Vaud,1534
Oberruti,Aargau,1534
Cadempino,Ticino,1530
Wikon,Luzern,1528
Airolo,Ticino,1527
Zernez,Graubunden,1527
Les Breuleux,Jura,1526
Rue,Fribourg,1526
Buchholterberg,Bern,1526
Eichberg,Sankt Gallen,1524
Matran,Fribourg,1521
Melchnau,Bern,1517
Niederburen,Sankt Gallen,1514
Lumino,Ticino,1513
Tagerig,Aargau,1511
Cottens,Fribourg,1509
Guggisberg,Bern,1508
Bossonnens,Fribourg,1505
Paudex,Vaud,1504
Attiswil,Bern,1504
Aristau,Aargau,1498
Rhazuns,Graubunden,1496
Rohrbach,Bern,1480
Messen,Solothurn,1480
Les Montets,Fribourg,1474
Lohningen,Schaffhausen,1472
Treyvaux,Fribourg,1470
Ramsen,Schaffhausen,1469
Apples,Vaud,1468
Mumpf,Aargau,1467
Veltheim,Aargau,1465
Wahlen,Basel-Landschaft,1462
Schneisingen,Aargau,1462
Ruttenen,Solothurn,1462
Tubach,Sankt Gallen,1461
Meierskappel,Luzern,1460
Mauensee,Luzern,1458
Origlio,Ticino,1457
Salmsach,Thurgau,1457
Dotzigen,Bern,1457
Egliswil,Aargau,1456
Gonten,Appenzell Innerrhoden,1455
Holziken,Aargau,1454
Riniken,Aargau,1452
Lyssach,Bern,1446
Melano,Ticino,1439
Witterswil,Solothurn,1438
Flurlingen,Zurich,1437
Thundorf,Thurgau,1437
Courtelary,Bern,1437
Lupsingen,Basel-Landschaft,1436
Yens,Vaud,1430
Emmetten,Nidwalden,1429
Trin,Graubunden,1429
Boniswil,Aargau,1427
Court,Bern,1427
Seegraben,Zurich,1426
Wil,Zurich,1425
Stein,Appenzell Ausserrhoden,1423
Courgevaux,Fribourg,1420
Kappelen,Bern,1419
Avusy,Geneve,1416
Unterlunkhofen,Aargau,1415
Semsales,Fribourg,1412
Munstschemier,Bern,1404
Heitenried,Fribourg,1403
Muhlethurnen,Bern,1402
Trelex,Vaud,1402
Schofflisdorf,Zurich,1398
Eriswil,Bern,1396
Salvan,Valais,1393
Heremence,Valais,1392
Andermatt,Uri,1390
Gisikon,Luzern,1387
Gravesano,Ticino,1386
Cureglia,Ticino,1385
Schonenbuch,Basel-Landschaft,1385
Erlach,Bern,1384
Vitznau,Luzern,1379
Grono,Graubunden,1376
Flaach,Zurich,1375
Leukerbad,Valais,1368
Boppelsen,Zurich,1365
Haggenschwil,Sankt Gallen,1364
Gryon,Vaud,1364
Thurnen,Basel-Landschaft,1363
Develier,Jura,1354
Stetten,Schaffhausen,1351
Trub,Bern,1350
Miege,Valais,1348
Schinznach Bad,Aargau,1347
Mesocco,Graubunden,1347
Sankt Ursen,Fribourg,1345
Visperterminen,Valais,1345
Le Paquier,Fribourg,1344
Bassins,Vaud,1344
Seewis im Pratigau,Graubunden,1342
Pura,Ticino,1341
Aesch,Zurich,1341
Sankt Stephan,Bern,1339
Dietwil,Aargau,1336
Champery,Valais,1336
Uerkheim,Aargau,1334
Matzendorf,Solothurn,1332
Baltschieder,Valais,1328
Leibstadt,Aargau,1325
Manno,Ticino,1324
Salenstein,Thurgau,1323
Gilly,Vaud,1322
Holderbank,Aargau,1320
Birwinken,Thurgau,1319
Tasch,Valais,1318
Le Vaud,Vaud,1310
Rodersdorf,Solothurn,1310
Hochwald,Solothurn,1310
Wittnau,Aargau,1309
Villaz-Saint-Pierre,Fribourg,1305
Zetzwil,Aargau,1305
Meinisberg,Bern,1303
Lavertezzo,Ticino,1302
Seltisberg,Basel-Landschaft,1301
Kandersteg,Bern,1301
Linden,Bern,1299
Vufflens-la-Ville,Vaud,1298
Rheinau,Zurich,1298
Bottens,Vaud,1297
Kriegstetten,Solothurn,1294
Laufelfingen,Basel-Landschaft,1291
Langrickenbach,Thurgau,1291
Chavannes-de-Bogis,Vaud,1285
Venthone,Valais,1283
Radelfingen,Bern,1283
Staffelbach,Aargau,1281
Arbaz,Valais,1280
Jussy,Geneve,1279
Luthern,Luzern,1275
Hendschiken,Aargau,1269
Evionnaz,Valais,1265
Boltigen,Bern,1262
Oberhelfenschwil,Sankt Gallen,1261
Kleinlutzel,Solothurn,1261
Ferenbalm,Bern,1260
Leuzigen,Bern,1259
Durrenasch,Aargau,1255
Grachen,Valais,1251
Les Ponts-de-Martel,Neuchatel,1248
Bettwiesen,Thurgau,1247
Blumenstein,Bern,1246
Reitnau,Aargau,1243
Les Bois,Jura,1241
Frauenkappelen,Bern,1240
Rochefort,Neuchatel,1239
Bercher,Vaud,1238
Sonvilier,Bern,1237
Buttwil,Aargau,1228
Boncourt,Jura,1225
Orvin,Bern,1222
Cheserex,Vaud,1221
Gingins,Vaud,1221
Tamins,Graubunden,1217
Gerzensee,Bern,1215
Lommis,Thurgau,1215
Bettingen,Basel-Stadt,1213
Eclepens,Vaud,1212
Villars-le-Terroir,Vaud,1212
Marbach,Luzern,1212
Aesch,Luzern,1205
Stettfurt,Thurgau,1204
Muolen,Sankt Gallen,1200
Oberstammheim,Zurich,1196
Beatenberg,Bern,1196
La Sonnaz,Fribourg,1190
Tegerfelden,Aargau,1190
La Verrerie,Fribourg,1188
Battwil,Solothurn,1186
Zuoz,Graubunden,1186
Aire-la-Ville,Geneve,1184
Ried bei Kerzers,Fribourg,1183
Choulex,Geneve,1179
Crassier,Vaud,1177
Obergerlafingen,Solothurn,1176
Niederbuchsiten,Solothurn,1175
Muhlau,Aargau,1175
Gunsberg,Solothurn,1174
Zeihen,Aargau,1171
Twann,Bern,1171
Gettnau,Luzern,1170
Trun,Graubunden,1170
Schmiedrued,Aargau,1168
Birrwil,Aargau,1166
La Rippe,Vaud,1166
La Roche,Jura,1162
Morschach,Schwyz,1159
Cevio,Ticino,1159
Sumvitg,Graubunden,1158
Jenaz,Graubunden,1146
Heimenhausen,Bern,1142
Lully,Fribourg,1141
Remaufens,Fribourg,1139
Wyssachen,Bern,1137
Schnottwil,Solothurn,1135
Remigen,Aargau,1135
Borex,Vaud,1133
Krattigen,Bern,1132
Liesberg,Basel-Landschaft,1127
Schlatterlehn,Appenzell Ausserrhoden,1126
Waldenburg,Basel-Landschaft,1125
Kappel am Albis,Zurich,1124
Leissigen,Bern,1123
Greppen,Luzern,1118
Noville,Vaud,1118
Etagnieres,Vaud,1115
Pampigny,Vaud,1114
Welschenrohr,Solothurn,1114
Brusio,Graubunden,1114
Wuppenau,Thurgau,1111
Silvaplauna,Graubunden,1111
Bunzen,Aargau,1110
Mulligen,Aargau,1109
Hagenbuch,Zurich,1105
Rechthalten,Fribourg,1103
Lauerz,Schwyz,1100
Sorens,Fribourg,1098
Affoltern im Emmental,Bern,1097
Rifferswil,Zurich,1096
Burgistein,Bern,1096
Ependes,Fribourg,1089
Stalden,Valais,1086
Duillier,Vaud,1080
Morrens,Vaud,1079
Herdern,Thurgau,1079
Assens,Vaud,1077
Obermumpf,Aargau,1074
Untereggen,Sankt Gallen,1073
Oberembrach,Zurich,1073
Gletterens,Fribourg,1070
Wegenstetten,Aargau,1066
Buus,Basel-Landschaft,1066
Yvorne,Vaud,1066
Ballaigues,Vaud,1064
Vaulruz,Fribourg,1063
Innertkirchen,Bern,1063
Hermance,Geneve,1062
Bariswil,Bern,1062
Durrenroth,Bern,1061
Fetigny,Fribourg,1060
Waldi,Thurgau,1059
Stusslingen,Solothurn,1055
Giebenach,Basel-Landschaft,1055
Trullikon,Zurich,1054
Eggenwil,Aargau,1053
Freienwil,Aargau,1053
Wolflinswil,Aargau,1048
Plasselb,Fribourg,1048
Mezieres,Fribourg,1045
Les Brenets,Neuchatel,1044
Schongau,Luzern,1044
Buren,Solothurn,1042
Sembrancher,Valais,1042
Sullens,Vaud,1036
Vich,Vaud,1035
Champagne,Vaud,1035
Gansingen,Aargau,1034
Haldenstein,Graubunden,1033
Saint George,Vaud,1032
Dorflingen,Schaffhausen,1028
Daillens,Vaud,1027
Baulmes,Vaud,1027
Givrins,Vaud,1026
Oeschgen,Aargau,1026
Quinto,Ticino,1026
Augst,Aargau,1024
Burg,Aargau,1023
Essertines-sur-Yverdon,Vaud,1023
Huntwangen,Zurich,1020
La Sagne,Neuchatel,1016
Vorderthal,Schwyz,1015
Rickenbach,Solothurn,1012
Dagerlen,Zurich,1012
Cornol,Jura,1010
Seewen,Solothurn,1010
Grub,Appenzell Ausserrhoden,1008
Vals,Graubunden,1007
Saint Martin,Fribourg,1005
Vuarrens,Vaud,1004
Cressier,Fribourg,1001
Morel-Filet,Valais,680
